   Ion        dE/dx       dE/dx      Projected    Longitudinal   Lateral
  Energy      Elec.      Nuclear        Range      Straggling   Straggling
 (MeV/u)     (MeV/um)   (MeV/um)        (um)          (um)         (um)
----------- ----------- ----------- ------------- ------------  ---------

1.447490e-01    1.212000e+00    7.644000e-03    4.500000e+00    2.613000e-01    3.390000e-01
1.579080e-01    1.278000e+00    7.126000e-03    4.700000e+00    2.640000e-01    3.431000e-01
1.710670e-01    1.336000e+00    6.679000e-03    4.890000e+00    2.664000e-01    3.467000e-01
1.842260e-01    1.387000e+00    6.288000e-03    5.070000e+00    2.685000e-01    3.500000e-01
1.973850e-01    1.431000e+00    5.944000e-03    5.240000e+00    2.705000e-01    3.529000e-01
2.105440e-01    1.469000e+00    5.639000e-03    5.420000e+00    2.723000e-01    3.556000e-01
2.368620e-01    1.527000e+00    5.119000e-03    5.750000e+00    2.776000e-01    3.604000e-01
2.631800e-01    1.567000e+00    4.693000e-03    6.070000e+00    2.824000e-01    3.646000e-01
2.894980e-01    1.591000e+00    4.337000e-03    6.380000e+00    2.869000e-01    3.683000e-01
3.158160e-01    1.604000e+00    4.035000e-03    6.700000e+00    2.911000e-01    3.718000e-01
3.421340e-01    1.609000e+00    3.775000e-03    7.010000e+00    2.952000e-01    3.749000e-01
3.684520e-01    1.608000e+00    3.549000e-03    7.320000e+00    2.992000e-01    3.779000e-01
4.210880e-01    1.592000e+00    3.173000e-03    7.940000e+00    3.133000e-01    3.835000e-01
4.737240e-01    1.566000e+00    2.874000e-03    8.570000e+00    3.270000e-01    3.886000e-01
5.263600e-01    1.536000e+00    2.630000e-03    9.210000e+00    3.405000e-01    3.934000e-01
5.789960e-01    1.504000e+00    2.426000e-03    9.870000e+00    3.541000e-01    3.981000e-01
6.316320e-01    1.472000e+00    2.253000e-03    1.054000e+01    3.676000e-01    4.027000e-01
6.842680e-01    1.441000e+00    2.105000e-03    1.123000e+01    3.812000e-01    4.071000e-01
7.369040e-01    1.411000e+00    1.976000e-03    1.193000e+01    3.948000e-01    4.115000e-01
7.895400e-01    1.382000e+00    1.863000e-03    1.264000e+01    4.085000e-01    4.159000e-01
8.421761e-01    1.355000e+00    1.763000e-03    1.337000e+01    4.223000e-01    4.203000e-01
8.948121e-01    1.328000e+00    1.674000e-03    1.412000e+01    4.362000e-01    4.247000e-01
9.474481e-01    1.303000e+00    1.594000e-03    1.487000e+01    4.501000e-01    4.291000e-01
1.052720e+00    1.256000e+00    1.456000e-03    1.644000e+01    5.031000e-01    4.379000e-01
1.184310e+00    1.203000e+00    1.315000e-03    1.847000e+01    5.813000e-01    4.493000e-01
1.315900e+00    1.155000e+00    1.201000e-03    2.058000e+01    6.559000e-01    4.610000e-01
1.447490e+00    1.113000e+00    1.106000e-03    2.279000e+01    7.279000e-01    4.731000e-01
1.579080e+00    1.074000e+00    1.026000e-03    2.507000e+01    7.982000e-01    4.857000e-01
1.710670e+00    1.038000e+00    9.566000e-04    2.744000e+01    8.673000e-01    4.987000e-01
1.842260e+00    1.005000e+00    8.969000e-04    2.988000e+01    9.355000e-01    5.121000e-01
1.973850e+00    9.754000e-01    8.446000e-04    3.241000e+01    1.000000e+00    5.261000e-01
2.105440e+00    9.583000e-01    7.983000e-04    3.499000e+01    1.070000e+00    5.405000e-01
2.368620e+00    9.234000e-01    7.202000e-04    4.030000e+01    1.310000e+00    5.703000e-01
2.631800e+00    8.770000e-01    6.567000e-04    4.585000e+01    1.530000e+00    6.017000e-01
