   Ion         dE/dx       dE/dx     Projected   Longitudinal   Lateral
  Energy       Elec.      Nuclear      Range      Straggling   Straggling
  (MeV/u)     (MeV/um)   (MeV/um)      (um)          (um)        (um)
------------  ---------- ----------- -----------  -----------  -----------
4.3750e-01   1.358E+00  2.456E-03    7.84E+00	  3025E-04     3764E-04
5.0000e-01   1.332E+00  2.194E-03    8.58E+00	  3217E-04     3826E-04
5.6250e-01   1.303E+00  1.986E-03    9.34E+00	  3404E-04     3885E-04
6.2500e-01   1.273E+00  1.816E-03   10.11E+00	  3589E-04     3941E-04
6.8750e-01   1.243E+00  1.674E-03   10.90E+00	  3773E-04     3997E-04
7.5000e-01   1.213E+00  1.555E-03   11.72E+00	  3957E-04     4051E-04
8.1250e-01   1.185E+00  1.452E-03   12.55E+00	  4140E-04     4106E-04
8.7500e-01   1.157E+00  1.362E-03   13.40E+00	  4324E-04     4160E-04
9.3750e-01   1.130E+00  1.284E-03   14.28E+00	  4508E-04     4214E-04
1.0000e+00   1.105E+00  1.215E-03   15.17E+00	  4693E-04     4269E-04
1.0625e+00   1.081E+00  1.153E-03   16.08E+00	  4879E-04     4324E-04
1.1250e+00   1.057E+00  1.097E-03   17.02E+00	  5066E-04     4381E-04
1.2500e+00   1.013E+00  1.002E-03   18.95E+00	  5775E-04     4495E-04
1.4062e+00   9.632E-01  9.046E-04   21.48E+00	  6816E-04     4644E-04
1.5625e+00   9.182E-01  8.256E-04   24.13E+00	  7805E-04     4800E-04
1.7188e+00   8.774E-01  7.599E-04   26.92E+00	  8763E-04     4964E-04
1.8750e+00   8.405E-01  7.044E-04   29.83E+00	  9703E-04     5136E-04
2.0312e+00   8.100E-01  6.568E-04   32.85E+00	  1.06E+00     5316E-04
2.1875e+00   7.905E-01  6.156E-04   35.97E+00	  1.15E+00     5504E-04
2.3438e+00   7.688E-01  5.795E-04   39.18E+00	  1.24E+00     5697E-04
2.5000e+00   7.427E-01  5.477E-04   42.48E+00	  1.33E+00     5898E-04
