   Ion       dE/dx      dE/dx     Projected   Longitudinal   Lateral
  Energy     Elec.      Nuclear     Range     Straggling    Straggling
  (MeV)     (MeV/um)    (MeV/um)    (um)         (um)          (um)
---------- ---------- ----------  ----------  ------------  -----------
   6.50E+00   6.586E-03  3.979E-06  560.32E+00    23.01E+00    16.37E+00
   7.00E+00   6.206E-03  3.723E-06  638.38E+00    25.74E+00    18.54E+00
   8.00E+00   5.575E-03  3.302E-06  808.08E+00    35.59E+00    23.24E+00
   9.00E+00   5.071E-03  2.969E-06  995.82E+00    44.82E+00    28.41E+00
  10.00E+00   4.657E-03  2.700E-06    1.20E+03    53.88E+00    34.05E+00
  11.00E+00   4.310E-03  2.478E-06    1.42E+03    62.91E+00    40.12E+00
  12.00E+00   4.016E-03  2.290E-06    1.66E+03    72.03E+00    46.64E+00
  13.00E+00   3.763E-03  2.130E-06    1.92E+03    81.25E+00    53.60E+00
  14.00E+00   3.543E-03  1.992E-06    2.19E+03    90.62E+00    60.97E+00
  15.00E+00   3.349E-03  1.872E-06    2.48E+03   100.15E+00    68.77E+00
  16.00E+00   3.177E-03  1.765E-06    2.79E+03   109.84E+00    76.98E+00
  17.00E+00   3.024E-03  1.671E-06    3.11E+03   119.70E+00    85.59E+00
  18.00E+00   2.886E-03  1.586E-06    3.45E+03   129.74E+00    94.61E+00
  20.00E+00   2.648E-03  1.442E-06    4.17E+03   166.70E+00   113.83E+00
  22.50E+00   2.405E-03  1.295E-06    5.16E+03   219.56E+00   140.04E+00
  25.00E+00   2.207E-03  1.177E-06    6.24E+03   269.81E+00   168.61E+00
  27.50E+00   2.042E-03  1.079E-06    7.42E+03   319.17E+00   199.47E+00
  30.00E+00   1.903E-03  9.967E-07    8.69E+03   368.41E+00   232.57E+00
  32.50E+00   1.783E-03  9.265E-07   10.04E+03   417.91E+00   267.86E+00
  35.00E+00   1.679E-03  8.659E-07   11.48E+03   467.90E+00   305.30E+00
  37.50E+00   1.588E-03  8.131E-07   13.01E+03   518.49E+00   344.84E+00
  40.00E+00   1.508E-03  7.665E-07   14.62E+03   569.75E+00   386.43E+00
  45.00E+00   1.372E-03  6.882E-07   18.10E+03   758.25E+00   475.66E+00
  50.00E+00   1.261E-03  6.250E-07   21.89E+03   935.57E+00   572.69E+00
  55.00E+00   1.169E-03  5.727E-07   26.01E+03     1.11E+03   677.23E+00
  60.00E+00   1.091E-03  5.288E-07   30.43E+03     1.28E+03   789.05E+00
  65.00E+00   1.025E-03  4.914E-07   35.15E+03     1.45E+03   907.89E+00
  70.00E+00   9.674E-04  4.591E-07   40.16E+03     1.62E+03     1.03E+03
  80.00E+00   8.727E-04  4.061E-07   51.03E+03     2.25E+03     1.30E+03
  90.00E+00   7.978E-04  3.644E-07   63.00E+03     2.83E+03     1.60E+03
 100.00E+00   7.371E-04  3.307E-07   76.03E+03     3.40E+03     1.92E+03
 110.00E+00   6.869E-04  3.030E-07   90.06E+03     3.96E+03     2.26E+03
 120.00E+00   6.447E-04  2.796E-07  105.07E+03     4.51E+03     2.62E+03
 130.00E+00   6.086E-04  2.597E-07  121.01E+03     5.07E+03     3.01E+03
 140.00E+00   5.774E-04  2.426E-07  137.86E+03     5.62E+03     3.41E+03
 150.00E+00   5.503E-04  2.276E-07  155.58E+03     6.18E+03     3.83E+03
 160.00E+00   5.263E-04  2.144E-07  174.13E+03     6.74E+03     4.27E+03
 170.00E+00   5.051E-04  2.028E-07  193.50E+03     7.31E+03     4.72E+03
 180.00E+00   4.862E-04  1.923E-07  213.66E+03     7.88E+03     5.19E+03
 200.00E+00   4.538E-04  1.745E-07  256.19E+03     9.97E+03     6.17E+03
 225.00E+00   4.212E-04  1.565E-07  313.32E+03    12.90E+03     7.47E+03
 250.00E+00   3.949E-04  1.419E-07  374.55E+03    15.61E+03     8.85E+03
 275.00E+00   3.734E-04  1.300E-07  439.59E+03    18.19E+03    10.29E+03
 300.00E+00   3.554E-04  1.199E-07  508.14E+03    20.69E+03    11.79E+03
 325.00E+00   3.402E-04  1.113E-07  579.97E+03    23.13E+03    13.34E+03
 350.00E+00   3.271E-04  1.039E-07  654.83E+03    25.52E+03    14.93E+03
 375.00E+00   3.159E-04  9.747E-08  732.52E+03    27.88E+03    16.57E+03
 400.00E+00   3.060E-04  9.181E-08  812.85E+03    30.20E+03    18.24E+03
 450.00E+00   2.897E-04  8.229E-08  980.64E+03    38.57E+03    21.67E+03
 500.00E+00   2.768E-04  7.462E-08    1.16E+06    46.10E+03    25.20E+03
 550.00E+00   2.663E-04  6.829E-08    1.34E+06    53.10E+03    28.81E+03
 600.00E+00   2.578E-04  6.298E-08    1.53E+06    59.72E+03    32.46E+03
 650.00E+00   2.506E-04  5.846E-08    1.73E+06    66.04E+03    36.15E+03
 700.00E+00   2.447E-04  5.456E-08    1.93E+06    72.11E+03    39.86E+03
 800.00E+00   2.352E-04  4.818E-08    2.35E+06    93.41E+03    47.32E+03
 900.00E+00   2.283E-04  4.317E-08    2.78E+06   111.83E+03    54.77E+03
   1.00E+03   2.230E-04  3.913E-08    3.22E+06   128.46E+03    62.17E+03
   1.10E+03   2.190E-04  3.580E-08    3.67E+06   143.77E+03    69.47E+03
   1.20E+03   2.158E-04  3.301E-08    4.13E+06   158.05E+03    76.67E+03
   1.30E+03   2.134E-04  3.063E-08    4.60E+06   171.49E+03    83.75E+03
   1.40E+03   2.115E-04  2.858E-08    5.07E+06   184.21E+03    90.71E+03
   1.50E+03   2.100E-04  2.680E-08    5.54E+06   196.30E+03    97.53E+03
