   Ion        dE/dx       dE/dx      Projected    Longitudinal   Lateral
  Energy      Elec.      Nuclear        Range      Straggling   Straggling
 (MeV/u)     (MeV/um)   (MeV/um)        (um)          (um)         (um)
----------- ----------- ----------- ------------- ------------  ---------

1.362756e-01    1.149000e+00    9.635000e-03    4.560000e+00    2.825000e-01    3.658000e-01
1.486643e-01    1.210000e+00    8.986000e-03    4.770000e+00    2.856000e-01    3.707000e-01
1.610529e-01    1.267000e+00    8.426000e-03    4.970000e+00    2.883000e-01    3.751000e-01
1.734416e-01    1.318000e+00    7.936000e-03    5.160000e+00    2.907000e-01    3.790000e-01
1.858303e-01    1.365000e+00    7.505000e-03    5.340000e+00    2.929000e-01    3.825000e-01
1.982190e-01    1.407000e+00    7.122000e-03    5.520000e+00    2.949000e-01    3.857000e-01
2.229964e-01    1.478000e+00    6.469000e-03    5.870000e+00    3.005000e-01    3.914000e-01
2.477738e-01    1.535000e+00    5.934000e-03    6.200000e+00    3.054000e-01    3.964000e-01
2.725511e-01    1.580000e+00    5.487000e-03    6.520000e+00    3.099000e-01    4.007000e-01
2.973285e-01    1.614000e+00    5.107000e-03    6.830000e+00    3.141000e-01    4.047000e-01
3.221059e-01    1.640000e+00    4.779000e-03    7.130000e+00    3.180000e-01    4.083000e-01
3.468833e-01    1.659000e+00    4.494000e-03    7.430000e+00    3.217000e-01    4.116000e-01
3.964380e-01    1.681000e+00    4.021000e-03    8.030000e+00    3.341000e-01    4.177000e-01
4.459928e-01    1.689000e+00    3.643000e-03    8.620000e+00    3.457000e-01    4.231000e-01
4.955475e-01    1.687000e+00    3.335000e-03    9.210000e+00    3.569000e-01    4.281000e-01
5.451023e-01    1.679000e+00    3.078000e-03    9.810000e+00    3.677000e-01    4.328000e-01
5.946570e-01    1.666000e+00    2.860000e-03    1.040000e+01    3.783000e-01    4.372000e-01
6.442118e-01    1.651000e+00    2.672000e-03    1.100000e+01    3.887000e-01    4.415000e-01
6.937665e-01    1.634000e+00    2.509000e-03    1.161000e+01    3.990000e-01    4.456000e-01
7.433213e-01    1.615000e+00    2.366000e-03    1.223000e+01    4.093000e-01    4.496000e-01
7.928760e-01    1.596000e+00    2.240000e-03    1.285000e+01    4.195000e-01    4.535000e-01
8.424308e-01    1.576000e+00    2.127000e-03    1.348000e+01    4.297000e-01    4.574000e-01
8.919855e-01    1.555000e+00    2.026000e-03    1.412000e+01    4.399000e-01    4.612000e-01
9.910950e-01    1.514000e+00    1.851000e-03    1.542000e+01    4.784000e-01    4.688000e-01
1.114982e+00    1.463000e+00    1.673000e-03    1.709000e+01    5.358000e-01    4.781000e-01
1.238869e+00    1.413000e+00    1.528000e-03    1.883000e+01    5.911000e-01    4.875000e-01
1.362756e+00    1.366000e+00    1.407000e-03    2.063000e+01    6.450000e-01    4.970000e-01
1.486643e+00    1.322000e+00    1.305000e-03    2.249000e+01    6.981000e-01    5.067000e-01
1.610529e+00    1.280000e+00    1.218000e-03    2.441000e+01    7.506000e-01    5.166000e-01
1.734416e+00    1.240000e+00    1.142000e-03    2.639000e+01    8.028000e-01    5.268000e-01
1.858303e+00    1.203000e+00    1.076000e-03    2.843000e+01    8.548000e-01    5.373000e-01
1.982190e+00    1.169000e+00    1.017000e-03    3.054000e+01    9.067000e-01    5.481000e-01
2.229964e+00    1.131000e+00    9.177000e-04    3.488000e+01    1.100000e+00    5.704000e-01
2.477738e+00    1.081000e+00    8.371000e-04    3.940000e+01    1.270000e+00    5.937000e-01
2.725511e+00    1.028000e+00    7.701000e-04    4.415000e+01    1.440000e+00    6.183000e-01
2.973285e+00    9.812000e-01    7.136000e-04    4.912000e+01    1.610000e+00    6.442000e-01
3.221059e+00    9.401000e-01    6.651000e-04    5.433000e+01    1.770000e+00    6.715000e-01
3.468833e+00    9.035000e-01    6.232000e-04    5.975000e+01    1.930000e+00    7.002000e-01
3.964380e+00    8.405000e-01    5.541000e-04    7.122000e+01    2.530000e+00    7.616000e-01
4.459928e+00    7.880000e-01    4.994000e-04    8.350000e+01    3.070000e+00    8.281000e-01
4.955475e+00    7.431000e-01    4.550000e-04    9.657000e+01    3.590000e+00    8.996000e-01
5.451023e+00    7.039000e-01    4.182000e-04    1.103900e+02    4.090000e+00    9.758000e-01
5.946570e+00    6.691000e-01    3.872000e-04    1.249600e+02    4.580000e+00    1.060000e+00
6.442118e+00    6.378000e-01    3.606000e-04    1.402600e+02    5.070000e+00    1.140000e+00
6.937665e+00    6.094000e-01    3.376000e-04    1.562900e+02    5.560000e+00    1.230000e+00
7.433213e+00    5.833000e-01    3.175000e-04    1.730600e+02    6.050000e+00    1.320000e+00
7.928760e+00    5.591000e-01    2.998000e-04    1.905700e+02    6.540000e+00    1.420000e+00
8.424308e+00    5.367000e-01    2.840000e-04    2.088100e+02    7.040000e+00    1.520000e+00
8.919855e+00    5.158000e-01    2.699000e-04    2.278100e+02    7.540000e+00    1.630000e+00
9.910950e+00    4.778000e-01    2.457000e-04    2.681000e+02    9.460000e+00    1.850000e+00
1.114982e+01    4.361000e-01    2.212000e-04    3.228600e+02    1.224000e+01    2.150000e+00
1.238869e+01    3.999000e-01    2.012000e-04    3.827100e+02    1.490000e+01    2.480000e+00
1.362756e+01    3.682000e-01    1.848000e-04    4.478500e+02    1.753000e+01    2.840000e+00
1.486643e+01    3.404000e-01    1.709000e-04    5.184600e+02    2.019000e+01    3.220000e+00
1.610529e+01    3.159000e-01    1.590000e-04    5.947000e+02    2.291000e+01    3.640000e+00
1.734416e+01    2.944000e-01    1.488000e-04    6.766600e+02    2.569000e+01    4.090000e+00
1.858303e+01    2.756000e-01    1.398000e-04    7.644200e+02    2.855000e+01    4.560000e+00
1.982190e+01    2.591000e-01    1.319000e-04    8.579700e+02    3.149000e+01    5.070000e+00
2.229964e+01    2.322000e-01    1.186000e-04    1.060000e+03    4.274000e+01    6.190000e+00
2.477738e+01    2.124000e-01    1.079000e-04    1.290000e+03    5.334000e+01    7.430000e+00
2.725511e+01    1.984000e-01    9.899000e-05    1.530000e+03    6.354000e+01    8.770000e+00
2.973285e+01    1.893000e-01    9.150000e-05    1.790000e+03    7.331000e+01    1.020000e+01
3.221059e+01    1.773000e-01    8.510000e-05    2.060000e+03    8.290000e+01    1.170000e+01
3.468833e+01    1.670000e-01    7.958000e-05    2.350000e+03    9.258000e+01    1.329000e+01
3.964380e+01    1.498000e-01    7.051000e-05    2.980000e+03    1.288300e+02    1.674000e+01
4.459928e+01    1.362000e-01    6.336000e-05    3.680000e+03    1.625800e+02    2.054000e+01
4.955475e+01    1.252000e-01    5.757000e-05    4.450000e+03    1.954700e+02    2.467000e+01
5.451023e+01    1.160000e-01    5.279000e-05    5.280000e+03    2.281300e+02    2.912000e+01
5.946570e+01    1.082000e-01    4.877000e-05    6.170000e+03    2.608600e+02    3.389000e+01
6.442118e+01    1.016000e-01    4.534000e-05    7.130000e+03    2.938000e+02    3.896000e+01
6.937665e+01    9.585000e-02    4.238000e-05    8.140000e+03    3.270500e+02    4.433000e+01
7.433213e+01    9.083000e-02    3.979000e-05    9.210000e+03    3.606200e+02    4.998000e+01
7.928760e+01    8.639000e-02    3.752000e-05    1.034000e+04    3.945600e+02    5.592000e+01
8.424308e+01    8.245000e-02    3.550000e-05    1.152000e+04    4.288400e+02    6.213000e+01
8.919855e+01    7.892000e-02    3.369000e-05    1.276000e+04    4.634900e+02    6.861000e+01
9.910950e+01    7.287000e-02    3.060000e-05    1.540000e+04    5.953400e+02    8.234000e+01
1.114982e+02    6.675000e-02    2.747000e-05    1.898000e+04    7.824900e+02    1.008800e+02
1.238869e+02    6.179000e-02    2.494000e-05    2.288000e+04    9.573000e+02    1.208600e+02
1.362756e+02    5.770000e-02    2.286000e-05    2.706000e+04    1.130000e+03    1.421800e+02
1.486643e+02    5.426000e-02    2.110000e-05    3.153000e+04    1.290000e+03    1.647800e+02
1.610529e+02    5.133000e-02    1.961000e-05    3.627000e+04    1.460000e+03    1.885700e+02
1.734416e+02    4.881000e-02    1.832000e-05    4.126000e+04    1.620000e+03    2.134900e+02
1.858303e+02    4.661000e-02    1.719000e-05    4.650000e+04    1.780000e+03    2.394600e+02
1.982190e+02    4.468000e-02    1.620000e-05    5.198000e+04    1.940000e+03    2.664200e+02
2.229964e+02    4.144000e-02    1.454000e-05    6.360000e+04    2.550000e+03    3.231400e+02
2.477738e+02    3.884000e-02    1.320000e-05    7.606000e+04    3.100000e+03    3.832000e+02
2.725511e+02    3.671000e-02    1.209000e-05    8.930000e+04    3.620000e+03    4.462300e+02
2.973285e+02    3.493000e-02    1.116000e-05    1.032700e+05    4.130000e+03    5.118900e+02
3.221059e+02    3.342000e-02    1.036000e-05    1.179000e+05    4.620000e+03    5.799000e+02
3.468833e+02    3.213000e-02    9.677000e-06    1.331500e+05    5.100000e+03    6.499900e+02
3.964380e+02    3.005000e-02    8.555000e-06    1.653400e+05    6.840000e+03    7.955400e+02
4.459928e+02    2.843000e-02    7.672000e-06    1.995600e+05    8.380000e+03    9.468900e+02
4.955475e+02    2.716000e-02    6.960000e-06    2.355400e+05    9.810000e+03    1.100000e+03
5.451023e+02    2.613000e-02    6.373000e-06    2.730800e+05    1.115000e+04    1.260000e+03
5.946570e+02    2.528000e-02    5.879000e-06    3.119900e+05    1.244000e+04    1.420000e+03
6.442118e+02    2.458000e-02    5.459000e-06    3.521000e+05    1.368000e+04    1.590000e+03
